"","IE_4_3.1","IE_4_3.2","IE_4_3.3","IE_4_3.4","IE_4_3.5","IE_4_3.6","IE_4_3.7","IE_4_3.8","IE_4_3.9","IE_4_3.10","IE_4_3.11","IE_4_3.12","IE_4_3.13","IE_4_3.14","IE_4_3.15","IE_4_3.16"
"JUN 2007",3.47,4.18,31.74,"_",-0.12,"_","_",-1.20,"_","_",9.05,"_","_",4.92,"_","_"
"SEP 2007",3.30,3.30,31.84,"_",-0.24,"_","_",-0.61,"_","_",5.71,"_","_",4.03,"_","_"
"DIC 2007",2.59,2.70,30.82,"_",-0.56,"_","_",-0.49,"_","_",3.21,"_","_",3.60,"_","_"
"MAR 2008",1.74,1.85,30.00,"_",-16.68,60.73,"_",3.24,21.78,"_",-0.50,51.16,"_",2.85,26.97,"_"
"JUN 2008",0.32,0.33,29.27,"_",-15.20,56.35,"_",1.30,21.23,"_",-7.52,49.49,"_",2.27,26.79,"_"
"SEP 2008",-0.95,-1.02,29.35,"_",-15.59,53.63,"_",-1.49,20.65,"_",-13.30,48.06,"_",2.01,27.64,"_"
"DIC 2008",-3.20,-3.61,27.73,"_",-9.67,59.36,"_",-7.67,18.58,"_",-23.29,45.08,"_",1.37,26.22,"_"
"MAR 2009",-6.48,-5.86,25.18,-3.17,2.90,62.86,-12.59,-12.07,16.51,-26.20,-30.24,39.80,-1.34,-0.04,23.72,-6.62
"JUN 2009",-7.23,-6.54,25.04,-4.79,0.17,56.52,-13.86,-14.07,15.50,-24.68,-26.62,42.27,-2.62,-1.40,23.73,-7.33
"SEP 2009",-7.09,-6.24,25.68,-7.29,-4.38,56.25,-14.83,-14.84,15.25,-23.46,-24.52,42.48,-2.51,-1.28,24.81,-7.08
"DIC 2009",-5.81,-4.57,24.94,-4.25,-2.89,58.48,-11.69,-11.08,15.45,-17.39,-17.51,43.35,-2.80,-1.28,23.51,-5.87
"MAR 2010",-3.27,-3.27,24.23,-1.76,0.64,61.85,-9.99,-10.53,14.95,-15.65,-16.79,40.68,-0.11,-0.00,22.80,-3.34
"JUN 2010",-2.10,-1.90,24.71,-2.28,0.14,56.56,-6.09,-5.13,15.82,-11.92,-14.80,41.55,0.12,0.39,23.53,-2.10
"SEP 2010",-1.46,-1.00,25.35,0.97,9.54,54.51,-3.88,-2.68,16.50,-9.94,-12.29,41.78,0.03,0.40,24.35,-1.56
"DIC 2010",-1.14,-1.08,24.66,2.23,6.96,60.58,-2.09,-0.62,17.12,-12.80,-14.97,40.35,0.40,0.18,23.24,-1.29
"MAR 2011",-1.22,-0.79,24.56,-6.00,-3.82,58.44,-2.24,-1.00,16.58,-10.12,-9.01,40.82,0.38,0.27,23.23,-0.99
"JUN 2011",-0.69,-0.26,25.32,-4.77,-3.88,55.32,-1.27,-1.46,16.84,-15.14,-14.75,41.14,1.46,1.72,24.52,-0.51
"SEP 2011",-1.78,-1.44,25.85,-5.75,-7.83,53.42,-0.49,-0.22,17.31,-16.92,-17.50,39.40,0.03,0.27,25.48,-1.61
"DIC 2011",-2.79,-2.60,24.80,0.79,3.94,59.65,-2.90,-3.78,16.38,-17.93,-18.96,38.12,-1.24,-0.96,23.97,-2.95
"MAR 2012",-3.59,-4.19,23.52,-1.93,-4.72,60.11,-2.68,-4.00,15.37,-19.91,-25.28,36.72,-2.05,-2.13,22.74,-3.66
"JUN 2012",-4.64,-5.51,23.43,-1.85,-1.77,58.27,-5.08,-6.15,16.26,-16.41,-20.83,36.77,-3.47,-4.11,22.58,-4.75
"SEP 2012",-4.42,-5.93,23.86,1.33,0.29,55.32,-5.15,-6.50,17.04,-16.96,-22.55,35.20,-3.31,-4.55,23.33,-4.65
"DIC 2012",-4.48,-5.69,22.82,-3.53,-3.41,64.00,-5.64,-5.63,16.35,-15.52,-20.41,34.60,-3.26,-4.58,21.59,-4.53
"MAR 2013",-4.14,-5.00,21.94,-6.09,-8.77,57.59,-5.23,-4.65,15.26,-11.29,-14.02,33.43,-3.17,-4.25,21.18,-4.05
"JUN 2013",-3.37,-4.40,22.89,4.26,4.36,59.37,-5.30,-4.43,15.76,-14.14,-18.49,34.71,-2.45,-3.64,22.11,-3.69
"SEP 2013",-2.48,-3.00,24.05,-2.07,-2.76,57.16,-6.07,-5.49,17.37,-10.59,-12.75,34.08,-1.12,-1.82,23.57,-2.49
"DIC 2013",-1.18,-1.37,23.66,0.43,0.40,63.83,-4.02,-3.90,17.91,-9.15,-10.26,33.88,-0.07,-0.32,22.46,-1.25
"MAR 2014",-0.47,-0.41,23.13,12.92,26.21,66.58,-3.36,-3.39,16.56,-11.56,-11.35,33.31,0.24,-0.06,21.76,-1.06
"JUN 2014",1.12,1.74,23.95,-1.83,3.48,63.40,-0.10,-0.09,18.06,-5.34,-3.07,35.47,2.03,2.34,22.84,1.26
"SEP 2014",1.59,2.05,24.64,-4.76,-1.87,57.80,3.50,3.56,18.64,-0.54,-0.93,37.88,1.75,2.08,23.91,1.86
"DIC 2014",2.53,2.77,24.24,-6.23,-6.50,60.35,4.19,4.38,18.66,4.04,4.75,38.14,2.64,2.72,23.09,2.95
"MAR 2015",2.97,3.33,23.60,-11.33,-16.33,59.79,6.20,6.83,18.23,12.58,12.70,38.67,2.60,3.02,22.31,3.69
"JUN 2015",2.96,3.11,25.09,0.15,4.64,62.25,6.39,7.02,19.81,11.63,10.94,41.86,1.87,1.83,23.55,3.08
"SEP 2015",3.11,3.72,26.15,6.52,18.04,59.35,3.78,4.31,20.14,5.88,6.50,42.67,2.61,2.97,25.04,2.98
"DIC 2015",2.99,3.49,25.66,6.97,16.71,63.07,1.01,1.48,20.48,2.73,2.72,42.04,3.15,3.43,24.03,2.82
