"","IE_4_4.1","IE_4_4.2","IE_4_4.3","IE_4_4.4","IE_4_4.5","IE_4_4.6","IE_4_4.7","IE_4_4.8","IE_4_4.9","IE_4_4.10","IE_4_4.11","IE_4_4.12","IE_4_4.13","IE_4_4.14"
"DIC 2004",340.1,3.45,325.1,6.94,32.95,550.2,4.14,115.0,9.16,9.01,6.19,-2.46,3.64,-9.33
"MAR 2005",443.4,4.47,232.4,5.03,31.90,43.4,0.33,632.3,48.67,12.70,6.20,-1.91,3.00,-23.78
"JUN 2005",451.8,4.52,486.1,10.24,33.35,318.6,2.38,619.2,45.62,12.60,5.53,-10.54,2.66,-29.20
"SEP 2005",425.2,4.23,523.9,10.52,34.45,487.0,3.56,462.0,34.33,11.32,4.93,-17.28,2.41,-31.02
"DIC 2005",414.7,4.07,398.9,7.96,33.77,292.4,2.11,521.2,38.05,11.80,5.32,-11.05,2.49,-29.26
"MAR 2006",368.4,3.56,488.7,10.07,33.24,812.1,6.12,45.1,2.34,12.30,5.71,-4.90,2.35,-18.97
"JUN 2006",248.4,2.38,362.1,6.92,34.32,606.4,4.42,4.1,0.21,12.15,5.10,-5.11,2.18,-15.79
"SEP 2006",364.5,3.48,214.9,3.91,34.55,517.9,3.66,61.5,3.40,11.30,4.75,-0.76,2.06,-11.67
"DIC 2006",423.2,3.99,196.5,3.63,33.69,513.2,3.63,106.5,5.63,12.00,5.11,-1.14,2.06,-14.52
"MAR 2007",659.4,6.15,-26.6,-0.50,31.83,528.3,3.75,104.5,5.29,12.46,5.15,-7.19,2.14,-6.40
"JUN 2007",884.9,8.27,-203.7,-3.64,31.74,608.5,4.25,72.7,3.67,12.09,4.86,-2.09,1.95,-7.65
"SEP 2007",820.7,7.58,-274.8,-4.81,31.84,514.3,3.50,31.6,1.69,11.12,4.92,6.88,1.76,-11.95
"DIC 2007",789.4,7.15,-339.3,-6.05,30.82,438.2,2.99,11.9,0.60,11.75,5.50,10.77,1.96,-2.51
"MAR 2008",520.6,4.57,-211.8,-3.98,30.00,330.7,2.26,-21.9,-1.05,12.11,6.31,26.12,2.18,4.87
"JUN 2008",459.6,3.97,-403.4,-7.48,29.27,41.9,0.28,14.2,0.69,12.13,7.01,48.78,2.20,16.02
"SEP 2008",302.2,2.59,-476.7,-8.76,29.35,-210.7,-1.39,36.2,1.90,11.45,7.61,58.74,2.32,35.49
"DIC 2008",81.1,0.69,-698.9,-13.27,27.73,-697.0,-4.62,79.2,3.94,12.68,9.78,82.64,2.94,54.50
"MAR 2009",74.5,0.63,-1071.5,-21.00,25.18,-1013.0,-6.78,15.9,0.77,12.96,12.32,99.60,3.99,86.91
"JUN 2009",-113.7,-0.94,-1000.8,-20.07,25.04,-1145.3,-7.65,30.9,1.49,13.18,11.98,72.77,4.70,116.18
"SEP 2009",-164.3,-1.37,-892.1,-17.97,25.68,-1107.1,-7.39,50.8,2.62,12.53,11.29,48.87,5.25,126.68
"DIC 2009",-104.7,-0.88,-647.9,-14.18,24.94,-803.3,-5.58,50.7,2.43,13.61,11.24,14.81,6.46,119.00
"MAR 2010",-244.9,-2.04,-278.6,-6.91,24.23,-573.8,-4.12,50.4,2.43,13.72,11.24,-8.90,7.69,92.54
"JUN 2010",-177.0,-1.48,-126.2,-3.17,24.71,-375.3,-2.71,72.1,3.44,13.90,10.29,-13.68,8.43,80.17
"SEP 2010",-66.2,-0.56,-92.3,-2.27,25.35,-235.1,-1.69,76.4,3.84,13.14,9.83,-12.27,8.43,61.87
"DIC 2010",-83.4,-0.71,-86.5,-2.21,24.66,-197.2,-1.45,27.3,1.28,13.93,9.80,-12.32,9.25,44.23
"MAR 2011",-143.2,-1.22,21.0,0.56,24.56,-232.3,-1.74,110.1,5.18,14.55,10.12,-9.66,9.82,28.16
"JUN 2011",-125.0,-1.06,84.7,2.19,25.32,-163.5,-1.22,123.1,5.67,14.72,9.67,-5.73,9.87,17.27
"SEP 2011",-246.0,-2.10,20.1,0.50,25.85,-279.7,-2.05,53.9,2.61,13.68,9.68,-1.14,10.25,21.98
"DIC 2011",-325.7,-2.78,-78.5,-2.05,24.80,-394.6,-2.95,-9.6,-0.44,14.24,10.32,5.66,11.28,22.23
"MAR 2012",-332.6,-2.87,-311.1,-8.24,23.52,-597.2,-4.55,-46.5,-2.08,14.87,11.12,10.22,12.08,23.42
"JUN 2012",-362.9,-3.12,-496.4,-12.58,23.43,-857.7,-6.46,-1.5,-0.07,15.57,10.55,9.13,12.73,29.11
"SEP 2012",-391.3,-3.41,-527.1,-13.17,23.86,-970.9,-7.27,52.5,2.48,14.91,10.48,8.31,12.98,26.67
"DIC 2012",-364.9,-3.20,-496.9,-13.23,22.82,-994.2,-7.65,132.4,6.14,16.02,10.63,2.66,14.14,24.94
"MAR 2013",-342.9,-3.05,-393.8,-11.37,21.94,-922.0,-7.36,185.3,8.47,16.98,10.79,-3.45,15.16,24.83
"JUN 2013",-420.6,-3.73,-227.5,-6.60,22.89,-799.7,-6.43,151.6,6.61,17.37,9.71,-9.05,15.20,17.98
"SEP 2013",-360.3,-3.25,-76.8,-2.21,24.05,-577.7,-4.66,140.7,6.48,16.37,9.33,-12.19,14.98,13.85
"DIC 2013",-269.5,-2.44,74.3,2.28,23.66,-344.0,-2.87,148.7,6.49,17.30,9.05,-15.95,15.62,9.15
"MAR 2014",-210.0,-1.92,152.5,4.97,23.13,-103.4,-0.89,45.9,1.93,17.37,8.91,-18.93,15.98,3.53
"JUN 2014",36.6,0.34,208.7,6.48,23.95,159.0,1.37,86.3,3.53,17.67,8.10,-17.43,15.21,-0.94
"SEP 2014",134.6,1.25,154.8,4.56,24.64,263.6,2.23,25.6,1.11,16.22,7.63,-19.11,14.65,-3.23
"DIC 2014",212.8,1.98,176.8,5.30,24.24,314.3,2.70,75.4,3.09,17.36,8.26,-8.95,14.56,-6.99
"MAR 2015",289.7,2.71,174.7,5.42,23.60,368.1,3.20,96.3,3.98,17.48,8.13,-8.66,14.55,-8.93
"JUN 2015",170.2,1.56,274.5,8.00,25.09,462.0,3.92,-17.2,-0.68,17.02,7.41,-8.35,13.84,-8.80
"SEP 2015",178.1,1.64,357.6,10.07,26.15,433.7,3.59,102.1,4.37,16.32,6.98,-8.59,12.85,-12.43
"DIC 2015",170.6,1.55,335.1,9.54,25.66,480.9,4.02,24.8,0.99,16.94,7.45,-10.36,12.44,-15.14
