"","IE_8_5.1","IE_8_5.2","IE_8_5.3","IE_8_5.4","IE_8_5.5","IE_8_5.6","IE_8_5.7","IE_8_5.8","IE_8_5.9","IE_8_5.10","IE_8_5.11","IE_8_5.12","IE_8_5.13","IE_8_5.14","IE_8_5.15","IE_8_5.16","IE_8_5.17"
"JUL 1995",612951336,6456712,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1995",610697319,-2049654,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1995",615729614,5010468,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1995",612791868,-1788458,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1995",615444826,3112344,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1995",623320299,8413025,8.78,13.61,4.99,2.24,9.25,6.75,-12.71,3.13,5.88,2.90,0.84,2.06,3.25,-0.53,0.18
"ENE 1996",625466588,2843662,9.08,13.62,5.50,2.66,9.84,7.12,-10.37,3.18,5.96,3.12,0.94,2.18,3.36,-0.42,0.18
"FEB 1996",626737005,1526237,7.91,11.41,5.12,2.09,9.71,6.77,-11.49,3.09,5.06,2.85,0.71,2.14,3.13,-0.46,0.17
"MAR 1996",632379393,5648117,8.02,11.91,4.98,1.64,10.02,6.87,-12.02,1.45,5.28,2.74,0.52,2.22,3.14,-0.48,0.08
"ABR 1996",635595498,3476346,8.38,12.95,4.84,1.69,9.52,6.42,-10.04,1.81,5.70,2.68,0.54,2.14,2.97,-0.39,0.10
"MAY 1996",636686481,1414517,8.04,11.43,5.42,2.09,10.33,7.18,-10.06,1.34,5.06,2.98,0.67,2.31,3.30,-0.39,0.07
"JUN 1996",644776586,8612998,7.03,8.51,5.88,2.38,10.99,7.81,-8.83,-0.41,3.82,3.21,0.75,2.45,3.57,-0.33,-0.03
"JUL 1996",650000051,5392504,6.79,8.44,5.51,2.87,9.35,7.58,-11.08,-0.93,3.78,3.01,0.91,2.09,3.48,-0.41,-0.06
"AGO 1996",644599538,-5177304,6.30,6.60,6.11,3.20,10.38,8.40,-11.86,-0.97,2.99,3.31,1.01,2.30,3.81,-0.44,-0.06
"SEP 1996",654479476,9897753,7.04,8.29,6.05,3.06,10.42,8.17,-12.96,0.90,3.77,3.28,0.97,2.31,3.70,-0.47,0.04
"OCT 1996",663200892,9190620,8.87,11.34,6.87,4.10,10.90,9.01,-12.07,1.18,5.13,3.74,1.31,2.42,4.11,-0.43,0.06
"NOV 1996",667733545,4783109,9.10,11.85,6.88,4.42,10.43,8.88,-10.99,1.30,5.36,3.74,1.42,2.33,4.07,-0.39,0.06
"DIC 1996",681603820,13909243,9.87,12.88,7.39,5.02,10.82,9.54,-10.56,0.32,5.86,4.01,1.60,2.41,4.35,-0.36,0.01
"ENE 1997",685449919,3629057,9.96,11.11,8.98,7.02,11.79,11.41,-10.40,0.73,5.10,4.86,2.23,2.63,5.16,-0.35,0.04
"FEB 1997",681418252,-3944335,9.07,8.93,9.18,7.89,11.00,11.48,-10.51,2.11,4.12,4.95,2.49,2.46,5.18,-0.35,0.11
"MAR 1997",687545644,6274341,9.09,9.06,9.11,8.38,10.12,11.49,-10.95,1.27,4.19,4.89,2.61,2.28,5.18,-0.36,0.07
"ABR 1997",694775950,7180546,9.62,10.01,9.29,8.22,10.75,11.72,-11.26,1.21,4.63,5.00,2.56,2.44,5.30,-0.37,0.07
"MAY 1997",707416719,12703734,11.38,13.18,9.84,8.60,11.55,12.13,-13.02,4.30,6.07,5.31,2.68,2.64,5.51,-0.42,0.23
"JUN 1997",707452175,-171211,9.87,10.52,9.33,7.99,11.14,11.32,-14.13,6.22,4.82,5.05,2.48,2.57,5.18,-0.45,0.32
"JUL 1997",716512454,8958045,10.34,9.95,10.68,8.50,13.66,12.69,-12.88,6.91,4.55,5.79,2.66,3.13,5.84,-0.40,0.35
"AGO 1997",718302464,2175195,11.57,11.96,11.24,9.29,13.91,13.46,-13.24,6.02,5.48,6.09,2.91,3.18,6.19,-0.41,0.31
"SEP 1997",720290612,2013601,10.19,9.25,11.00,9.68,12.80,12.93,-10.02,6.09,4.28,5.91,3.00,2.91,5.89,-0.30,0.32
"OCT 1997",725232844,5224978,9.46,7.32,11.32,9.63,13.64,13.31,-9.89,5.79,3.41,6.05,2.97,3.08,6.04,-0.29,0.30
"NOV 1997",727967943,2828625,9.10,6.02,11.79,9.18,15.39,14.66,-10.60,-1.08,2.81,6.30,2.84,3.46,6.66,-0.30,-0.06
"DIC 1997",735826228,7963006,8.05,4.27,11.39,9.03,14.64,13.52,-5.97,1.81,2.00,6.04,2.77,3.27,6.11,-0.16,0.09
"ENE 1998",747617861,12127593,9.24,5.45,12.55,9.82,16.30,14.50,-5.00,4.61,2.54,6.70,3.04,3.67,6.60,-0.14,0.24
"FEB 1998",753969946,6780508,10.87,8.33,13.05,9.90,17.38,14.96,-5.47,6.02,3.85,7.02,3.09,3.93,6.84,-0.15,0.32
"MAR 1998",755808125,1617785,10.09,7.67,12.20,9.09,16.45,13.38,-2.96,9.62,3.56,6.53,2.81,3.72,6.12,-0.08,0.50
"ABR 1998",759462734,4241316,9.57,5.93,12.72,10.22,16.11,13.66,-4.23,13.04,2.76,6.81,3.14,3.66,6.25,-0.11,0.67
"MAY 1998",766616125,7013454,8.59,3.44,13.13,10.92,16.09,14.22,-2.83,11.48,1.61,6.98,3.32,3.66,6.45,-0.07,0.59
"JUN 1998",783655501,16789594,10.99,6.88,14.51,12.54,17.12,15.75,-3.52,12.24,3.18,7.81,3.83,3.97,7.26,-0.09,0.64
"JUL 1998",791062300,8020516,10.72,6.99,13.85,11.91,16.41,14.72,-0.71,12.90,3.19,7.53,3.68,3.84,6.87,-0.02,0.68
"AGO 1998",785440600,-5322790,9.65,5.21,13.43,11.52,15.96,13.92,1.33,14.69,2.40,7.25,3.54,3.71,6.46,0.03,0.76
"SEP 1998",798351738,13754736,11.25,6.88,14.97,12.45,18.32,15.82,-0.25,14.42,3.16,8.09,3.85,4.24,7.34,-0.01,0.75
"OCT 1998",810598985,12197491,12.14,7.98,15.63,13.35,18.67,16.15,2.79,16.95,3.65,8.49,4.14,4.35,7.54,0.07,0.88
"NOV 1998",817780275,7293764,12.70,7.53,16.99,15.37,19.11,16.63,3.80,26.78,3.41,9.29,4.77,4.52,7.89,0.09,1.31
"DIC 1998",811780821,-4978808,10.81,3.83,16.60,14.53,19.32,16.79,-1.65,23.44,1.74,9.07,4.52,4.55,7.93,-0.04,1.18
"ENE 1999",817171676,5196338,9.71,2.49,15.62,13.40,18.53,15.68,-2.10,23.36,1.12,8.59,4.17,4.41,7.44,-0.05,1.20
"FEB 1999",825137925,7954524,9.79,1.91,16.29,14.02,19.24,16.15,4.06,23.06,0.87,8.92,4.33,4.59,7.63,0.09,1.20
"MAR 1999",830654535,5590450,10.29,2.05,17.16,14.26,20.90,17.28,2.03,22.81,0.93,9.35,4.38,4.97,8.10,0.05,1.21
"ABR 1999",834792587,4308460,10.25,1.47,17.44,15.30,20.21,17.54,6.28,21.43,0.66,9.58,4.73,4.85,8.29,0.14,1.15
"MAY 1999",848187594,12502810,10.87,2.39,17.73,16.29,19.58,17.73,4.69,23.22,1.07,9.80,5.06,4.74,8.43,0.11,1.26
"JUN 1999",874634941,26087146,11.82,1.29,20.29,20.64,19.83,18.96,6.07,37.79,0.57,11.24,6.40,4.84,9.07,0.13,2.04
"JUL 1999",873721061,-902430,10.58,-0.80,19.61,19.81,19.36,18.10,13.93,35.45,-0.36,10.93,6.18,4.75,8.71,0.31,1.91
"AGO 1999",873018647,-204429,11.31,0.35,20.01,19.93,20.12,18.57,13.82,35.24,0.16,11.15,6.23,4.92,8.91,0.31,1.93
"SEP 1999",884652871,11654075,10.86,-0.45,19.86,19.78,19.95,18.35,14.84,35.28,-0.20,11.06,6.16,4.89,8.83,0.32,1.91
"OCT 1999",892367369,9565454,10.37,-2.00,20.14,19.78,20.60,18.85,11.78,34.79,-0.88,11.25,6.19,5.06,9.08,0.26,1.92
"NOV 1999",904601227,12452639,10.91,0.23,19.09,19.19,18.97,16.98,15.81,38.91,0.10,10.81,6.08,4.73,8.30,0.34,2.17
"DIC 1999",918005951,12264231,13.12,4.56,19.48,19.23,19.80,17.60,18.31,36.74,1.95,11.17,6.16,5.01,8.74,0.39,2.04
"ENE 2000",921910023,4530180,12.95,4.76,18.93,18.76,19.14,18.07,-0.42,33.53,2.01,10.94,6.02,4.91,9.01,-0.01,1.93
"FEB 2000",927073766,5092516,12.48,4.57,18.24,18.53,17.88,17.77,-15.37,34.79,1.92,10.55,5.94,4.62,8.85,-0.34,2.04
"MAR 2000",935404439,7329494,12.60,3.38,19.35,20.08,18.46,19.34,-14.93,32.13,1.43,11.18,6.37,4.80,9.61,-0.33,1.90
"ABR 2000",949831882,14001573,13.70,3.97,20.63,20.76,20.47,20.78,-14.45,32.50,1.65,12.05,6.70,5.35,10.43,-0.32,1.94
"MAY 2000",954549019,5168316,12.62,3.30,19.21,19.29,19.11,18.93,-12.69,32.73,1.37,11.25,6.28,4.97,9.52,-0.27,2.01
"JUN 2000",970698555,16198605,11.11,3.36,16.37,15.34,17.70,17.15,-8.81,18.27,1.36,9.75,5.13,4.62,8.70,-0.18,1.24
"JUL 2000",984644946,14922501,12.93,6.40,17.24,16.67,17.96,18.03,-24.86,25.37,2.54,10.39,5.64,4.74,9.24,-0.57,1.72
"AGO 2000",980354339,-5049945,12.39,5.34,17.08,17.08,17.09,17.67,-25.90,27.15,2.13,10.25,5.75,4.50,9.01,-0.59,1.83
"SEP 2000",1004118266,22815252,13.48,4.82,19.22,20.32,17.81,18.67,-26.91,38.79,1.92,11.57,6.85,4.71,9.56,-0.61,2.62
"OCT 2000",1014929084,11077695,13.54,6.08,18.36,19.79,16.57,17.39,-26.66,41.05,2.39,11.15,6.71,4.44,9.01,-0.60,2.74
"NOV 2000",1023385069,8804766,12.95,5.06,18.06,18.45,17.56,18.26,-30.50,32.68,1.99,10.96,6.27,4.69,9.40,-0.70,2.26
"DIC 2000",1033294733,10496502,12.57,3.41,18.54,19.20,17.71,18.53,-31.46,34.91,1.34,11.23,6.49,4.74,9.53,-0.70,2.40
"ENE 2001",1031122567,-995316,11.92,2.27,18.14,19.87,15.97,16.43,-16.35,40.45,0.89,11.03,6.71,4.32,8.55,-0.31,2.78
"FEB 2001",1034472422,3583831,11.69,1.54,18.24,19.85,16.22,16.30,-6.51,38.25,0.61,11.08,6.70,4.38,8.48,-0.11,2.71
"MAR 2001",1048362689,12773964,12.17,2.79,18.10,19.91,15.86,15.76,-7.41,41.38,1.08,11.08,6.75,4.33,8.27,-0.12,2.93
"ABR 2001",1060872508,14050004,11.99,3.15,17.40,19.72,14.51,14.34,-10.45,46.55,1.20,10.79,6.79,4.00,7.62,-0.18,3.34
"MAY 2001",1068420968,5858802,12.00,3.14,17.43,19.50,14.83,14.72,-8.85,43.01,1.19,10.80,6.73,4.07,7.80,-0.15,3.16
"JUN 2001",1088140678,20461000,12.24,3.12,17.75,19.63,15.39,15.02,-10.75,44.58,1.17,11.06,6.82,4.24,8.01,-0.18,3.23
"JUL 2001",1098416600,11509161,11.72,2.64,17.17,19.17,14.64,14.15,1.89,41.88,0.99,10.73,6.69,4.04,7.57,0.03,3.13
"AGO 2001",1092564419,-6145578,11.66,2.55,17.13,18.91,14.84,14.32,5.16,38.82,0.96,10.70,6.64,4.07,7.63,0.08,3.00
"SEP 2001",1107555656,14370851,10.54,2.49,15.22,15.80,14.47,14.02,3.79,24.84,0.91,9.63,5.66,3.97,7.48,0.06,2.09
"OCT 2001",1115235859,8084216,10.13,1.68,15.03,15.93,13.84,13.84,3.25,24.39,0.62,9.52,5.72,3.79,7.38,0.05,2.09
"NOV 2001",1125977646,11269214,10.29,1.04,15.61,17.37,13.33,13.90,5.93,28.22,0.38,9.91,6.22,3.69,7.46,0.08,2.36
"DIC 2001",1139298591,11471281,10.29,1.16,15.48,17.66,12.68,13.58,1.47,30.11,0.42,9.87,6.33,3.54,7.34,0.02,2.51
"ENE 2002",1141864097,2993648,10.70,2.52,15.26,17.16,12.81,13.81,-2.05,27.12,0.90,9.79,6.20,3.59,7.46,-0.03,2.35
"FEB 2002",1143889315,2069458,10.51,1.76,15.38,17.11,13.14,14.12,-0.20,25.53,0.63,9.89,6.20,3.69,7.64,-0.00,2.25
"MAR 2002",1166175822,21828078,11.24,1.66,16.53,18.40,14.11,15.06,-0.53,27.98,0.59,10.65,6.67,3.98,8.15,-0.01,2.51
"ABR 2002",1176983481,11846582,10.90,2.67,15.35,16.34,14.05,14.37,-2.15,23.61,0.94,9.96,5.99,3.97,7.80,-0.03,2.19
"MAY 2002",1186190623,9785142,11.19,2.94,15.64,15.96,15.22,14.80,-8.15,23.88,1.03,10.16,5.88,4.28,8.02,-0.11,2.25
"JUN 2002",1197223800,10750656,10.09,1.60,14.60,14.31,14.97,14.01,-9.74,21.55,0.56,9.54,5.30,4.24,7.66,-0.13,2.01
"JUL 2002",1201025073,4581637,9.37,-0.21,14.42,13.36,15.81,14.63,-13.47,17.31,-0.07,9.44,4.97,4.47,7.99,-0.19,1.64
"AGO 2002",1198949035,-3413580,9.67,-0.42,14.99,13.58,16.84,15.58,-15.31,16.08,-0.14,9.81,5.07,4.75,8.50,-0.22,1.53
"SEP 2002",1215273122,16251704,9.71,0.75,14.35,13.33,15.71,14.29,-14.18,18.87,0.26,9.45,4.99,4.46,7.87,-0.19,1.77
"OCT 2002",1227669882,15396469,10.30,1.13,15.00,13.90,16.46,15.02,-15.26,19.16,0.38,9.91,5.24,4.67,8.29,-0.21,1.83
"NOV 2002",1237511879,10237286,10.11,1.33,14.53,13.04,16.52,14.68,-19.13,18.42,0.45,9.66,4.95,4.71,8.15,-0.26,1.77
"DIC 2002",1247053919,10837740,9.93,1.39,14.19,12.64,16.27,14.26,-16.09,17.65,0.46,9.47,4.83,4.64,7.93,-0.20,1.75
"ENE 2003",1247156836,717970,9.71,0.02,14.53,12.43,17.35,15.23,-16.69,14.55,0.01,9.71,4.77,4.94,8.45,-0.21,1.47
"FEB 2003",1257915989,10400539,10.42,1.45,14.81,12.75,17.58,15.43,-16.05,15.24,0.48,9.95,4.90,5.04,8.60,-0.20,1.55
"MAR 2003",1271110520,12909727,9.46,0.78,13.63,11.93,15.92,14.51,-17.43,12.58,0.26,9.20,4.61,4.60,8.11,-0.21,1.31
"ABR 2003",1291385456,20980278,10.15,1.68,14.22,12.49,16.51,15.53,-17.86,10.86,0.55,9.60,4.81,4.79,8.68,-0.21,1.13
"MAY 2003",1295985871,4263840,9.60,0.00,14.22,12.50,16.48,15.66,-12.20,9.36,0.00,9.60,4.80,4.80,8.76,-0.14,0.98
"JUN 2003",1316018873,19298100,10.23,1.55,14.31,12.65,16.47,15.57,-13.24,10.41,0.50,9.73,4.86,4.87,8.81,-0.15,1.07
"JUL 2003",1326863609,10585052,10.70,2.17,14.62,13.21,16.43,15.58,-12.74,12.17,0.68,10.01,5.10,4.92,8.91,-0.14,1.24
"AGO 2003",1326815746,-2651959,10.78,1.04,15.22,13.80,17.05,15.70,-11.68,15.42,0.33,10.45,5.34,5.11,9.01,-0.13,1.57
"SEP 2003",1337798836,13191900,10.38,0.43,14.93,13.21,17.16,15.42,-10.95,14.86,0.14,10.25,5.11,5.13,8.84,-0.12,1.53
"OCT 2003",1350575724,11463154,9.96,-0.34,14.62,12.14,17.83,15.49,-9.53,12.20,-0.11,10.06,4.72,5.34,8.91,-0.10,1.25
"NOV 2003",1367190248,15677018,10.32,-0.35,15.09,12.06,19.00,16.34,-8.28,10.34,-0.11,10.43,4.70,5.73,9.45,-0.08,1.06
"DIC 2003",1386423779,20431744,11.01,-0.36,16.07,13.74,19.06,16.39,-9.47,16.62,-0.11,11.12,5.36,5.76,9.49,-0.09,1.71
"ENE 2004",1399842358,13199481,12.01,1.85,16.44,14.57,18.84,16.33,-7.48,19.32,0.56,11.45,5.69,5.75,9.54,-0.07,1.98
"FEB 2004",1405431974,6358579,11.58,1.01,16.18,13.98,18.99,16.52,-4.32,16.17,0.31,11.28,5.46,5.82,9.65,-0.04,1.67
"MAR 2004",1426627054,19835408,12.01,1.78,16.40,13.72,19.84,16.97,0.84,14.58,0.54,11.47,5.39,6.08,9.94,0.01,1.52
"ABR 2004",1441408042,15268808,11.38,0.06,16.25,13.49,19.77,16.74,1.66,14.69,0.02,11.36,5.28,6.08,9.83,0.01,1.51
"MAY 2004",1455088041,11961486,11.93,1.09,16.52,13.68,20.10,17.17,-2.12,14.39,0.32,11.61,5.37,6.24,10.15,-0.02,1.47
"JUN 2004",1478909304,24203374,12.12,0.31,17.08,14.49,20.33,17.75,1.37,14.56,0.09,12.03,5.67,6.36,10.53,0.01,1.48
"JUL 2004",1492067303,13121290,12.21,-0.55,17.46,15.12,20.39,18.35,-0.75,13.82,-0.16,12.37,5.95,6.42,10.96,-0.01,1.42
"AGO 2004",1486776666,-4773525,12.05,0.22,16.80,13.80,20.56,17.99,-3.33,11.73,0.06,11.99,5.48,6.51,10.77,-0.03,1.25
"SEP 2004",1506622124,19473156,12.42,1.02,17.00,14.13,20.58,18.40,-0.62,10.49,0.29,12.13,5.59,6.54,11.03,-0.01,1.11
"OCT 2004",1520222765,14992786,12.57,-0.84,17.84,15.91,20.23,18.96,-3.01,13.17,-0.24,12.81,6.32,6.49,11.43,-0.03,1.40
"NOV 2004",1540811999,20383008,12.76,1.67,17.05,14.66,19.97,18.27,-3.24,11.56,0.46,12.30,5.82,6.48,11.11,-0.03,1.21
"DIC 2004",1560783414,18998398,12.48,1.86,16.53,13.57,20.20,19.10,-1.19,3.70,0.51,11.97,5.44,6.53,11.57,-0.01,0.41
"ENE 2005",1582912323,22555234,13.03,2.57,17.01,14.22,20.47,19.87,0.04,2.76,0.71,12.32,5.71,6.61,12.01,0.00,0.31
"FEB 2005",1591278885,9949948,13.23,1.74,17.57,15.28,20.38,20.02,-0.73,5.34,0.48,12.75,6.12,6.64,12.18,-0.01,0.59
"MAR 2005",1615707786,22603938,13.23,1.53,17.61,15.57,20.12,19.99,-0.57,5.77,0.42,12.81,6.24,6.58,12.19,-0.00,0.63
"ABR 2005",1635455789,19049126,13.36,-0.25,18.39,16.88,20.21,20.63,3.86,6.83,-0.07,13.42,6.77,6.66,12.65,0.03,0.74
"MAY 2005",1645247123,9306755,13.05,-1.74,18.46,16.83,20.42,20.67,2.28,7.01,-0.47,13.52,6.75,6.77,12.74,0.02,0.76
"JUN 2005",1690434070,43348284,14.13,0.69,18.95,17.80,20.33,21.24,13.56,6.06,0.18,13.95,7.15,6.80,13.19,0.11,0.65
"JUL 2005",1700126619,9972117,13.80,-1.96,19.27,18.79,19.84,21.20,14.41,8.21,-0.51,14.30,7.62,6.68,13.31,0.11,0.88
"AGO 2005",1696565214,-3060262,13.96,-1.84,19.39,18.87,20.01,21.26,16.18,8.64,-0.47,14.43,7.62,6.81,13.39,0.12,0.92
"SEP 2005",1734596324,39265264,15.09,0.98,19.96,19.75,20.22,21.93,10.95,8.96,0.25,14.84,7.97,6.87,13.81,0.08,0.95
"OCT 2005",1744598719,10895369,14.69,-0.09,19.58,18.86,20.43,21.83,13.58,6.60,-0.02,14.71,7.72,6.99,13.90,0.10,0.71
"NOV 2005",1780814809,36256664,15.52,-1.26,21.16,21.71,20.52,22.30,19.84,14.27,-0.32,15.84,8.76,7.08,14.21,0.14,1.49
"DIC 2005",1817595828,35290344,16.37,0.92,21.51,22.03,20.90,22.97,23.58,12.35,0.23,16.14,8.93,7.20,14.70,0.16,1.28
"ENE 2006",1818974755,980313,14.77,-4.57,21.23,21.58,20.81,22.58,22.63,12.72,-1.14,15.92,8.76,7.15,14.45,0.16,1.31
"FEB 2006",1858760011,41967400,16.71,-3.53,23.32,25.32,20.96,22.83,74.66,22.76,-0.87,17.58,10.32,7.25,14.71,0.54,2.33
"MAR 2006",1904514490,41950324,17.65,-0.19,23.42,25.18,21.34,23.37,73.43,20.19,-0.05,17.70,10.31,7.39,15.08,0.54,2.08
"ABR 2006",1916554479,13577104,17.11,-2.27,23.13,24.97,20.94,23.30,68.93,18.84,-0.54,17.64,10.34,7.30,15.18,0.51,1.96
"MAY 2006",1938307011,21448036,17.74,-0.77,23.35,25.53,20.79,23.36,78.67,19.46,-0.18,17.92,10.58,7.34,15.35,0.56,2.01
"JUN 2006",1987957960,47855808,17.53,-0.70,23.06,24.79,21.02,23.22,94.00,16.52,-0.16,17.70,10.30,7.40,15.28,0.74,1.68
"JUL 2006",2018887679,31983682,18.73,1.86,23.53,25.72,20.91,23.53,111.95,17.01,0.41,18.32,10.92,7.40,15.70,0.86,1.76
"AGO 2006",2019321995,1158968,19.02,1.74,23.89,26.54,20.76,23.97,112.23,16.83,0.38,18.63,11.21,7.42,16.03,0.86,1.75
"SEP 2006",2067030382,51901820,19.33,1.07,24.63,28.08,20.55,24.45,122.88,18.72,0.24,19.09,11.80,7.29,16.29,0.91,1.90
"OCT 2006",2078828599,12521138,19.31,-0.05,24.66,28.58,20.01,24.25,132.07,19.56,-0.01,19.32,12.14,7.18,16.38,0.97,1.97
"NOV 2006",2116202777,37145364,18.97,-0.41,24.27,28.07,19.77,24.65,130.56,14.32,-0.09,19.06,11.95,7.11,16.61,0.96,1.49
"DIC 2006",2163489087,47471824,19.25,-0.33,24.67,28.89,19.63,24.46,133.82,18.17,-0.07,19.33,12.30,7.02,16.52,0.98,1.83
"ENE 2007",2175813723,9895717,19.73,2.30,24.30,28.72,19.02,24.31,127.75,16.78,0.48,19.25,12.38,6.87,16.59,0.94,1.72
"FEB 2007",2194507711,17620772,18.00,2.47,21.96,24.70,18.61,23.74,58.83,7.26,0.50,17.50,10.83,6.66,16.07,0.63,0.79
"MAR 2007",2238823299,39104044,17.42,1.21,21.64,24.40,18.27,23.37,56.30,7.35,0.25,17.17,10.66,6.51,15.77,0.61,0.79
"ABR 2007",2250892213,19325316,17.61,1.80,21.51,24.59,17.72,22.62,54.11,11.09,0.36,17.25,10.88,6.37,15.49,0.58,1.18
"MAY 2007",2282966934,33222856,18.02,1.96,21.93,25.92,17.05,22.55,53.39,14.64,0.38,17.63,11.47,6.16,15.51,0.58,1.55
"JUN 2007",2339633489,48083044,17.58,2.50,21.26,25.25,16.39,21.90,28.19,16.04,0.49,17.09,11.15,5.94,15.09,0.37,1.63
"JUL 2007",2349707635,18086280,16.62,-0.90,20.73,24.41,16.14,21.29,26.99,16.12,-0.17,16.79,10.98,5.81,14.77,0.37,1.65
"AGO 2007",2349630450,-794568,16.52,-1.01,20.58,24.38,15.88,21.30,27.34,14.79,-0.19,16.71,10.95,5.76,14.82,0.37,1.51
"SEP 2007",2383292614,34349408,15.29,-0.84,19.10,22.25,15.14,19.92,25.25,12.53,-0.16,15.45,10.02,5.43,13.85,0.35,1.25
"OCT 2007",2379394433,1331094,14.66,-1.71,18.30,21.01,14.85,18.72,21.29,14.89,-0.31,14.97,9.61,5.36,13.18,0.30,1.49
"NOV 2007",2406159869,27946980,13.97,-1.82,17.44,20.10,14.08,17.64,19.04,15.74,-0.33,14.30,9.20,5.10,12.46,0.27,1.56
"DIC 2007",2432194529,22999474,12.53,-2.13,15.78,18.37,12.47,15.93,15.81,14.69,-0.39,12.92,8.44,4.48,11.24,0.23,1.45
"ENE 2008",2422817779,-7260582,11.67,-5.77,15.44,17.93,12.24,15.40,17.54,15.46,-1.03,12.70,8.30,4.40,10.91,0.25,1.54
"FEB 2008",2436936467,13363182,11.38,-4.72,14.83,17.25,11.71,14.92,13.09,14.44,-0.83,12.21,8.00,4.21,10.58,0.19,1.44
"MAR 2008",2458802571,22354650,10.41,-4.85,13.71,16.27,10.41,13.62,9.89,14.92,-0.86,11.27,7.54,3.73,9.64,0.14,1.49
"ABR 2008",2461280209,3677130,9.66,-4.80,12.65,14.66,10.03,12.63,13.63,12.61,-0.82,10.48,6.87,3.61,9.03,0.19,1.26
"MAY 2008",2480241143,17639886,8.84,-3.69,11.40,12.85,9.49,11.64,15.70,9.06,-0.63,9.46,6.06,3.41,8.32,0.22,0.92
"JUN 2008",2519717865,41864204,8.36,-2.56,10.61,12.35,8.32,10.23,16.35,12.51,-0.44,8.80,5.82,2.98,7.29,0.23,1.27
"JUL 2008",2516703428,2515177,7.66,-1.00,9.33,10.71,7.50,8.93,10.03,12.11,-0.16,7.82,5.13,2.69,6.45,0.15,1.22
"AGO 2008",2516523337,-2028650,7.61,0.34,8.99,10.52,6.96,8.44,9.92,12.85,0.06,7.55,5.04,2.51,6.12,0.15,1.29
"SEP 2008",2554748699,39007532,7.70,2.95,8.63,10.28,6.42,7.75,6.70,15.34,0.48,7.21,4.92,2.30,5.60,0.10,1.51
"OCT 2008",2549310312,-4925474,7.45,4.17,8.05,9.89,5.61,7.40,6.52,13.07,0.65,6.80,4.77,2.03,5.39,0.10,1.30
