"","IE_1_3.1","IE_1_3.2","IE_1_3.3","IE_1_3.4","IE_1_3.5","IE_1_3.6","IE_1_3.7","IE_1_3.8","IE_1_3.9","IE_1_3.10","IE_1_3.11","IE_1_3.12","IE_1_3.13","IE_1_3.14"
"MAR 2010",-1.04,-0.04,2.16,-2.02,-15.42,0.46,0.44,3.02,-4.27,1.57,-4.32,2.47,1.54,-0.99
"JUN 2010",0.11,0.93,4.08,0.45,-14.96,1.41,2.00,4.36,-4.01,2.00,-1.56,2.38,2.22,0.64
"SEP 2010",0.47,2.09,3.79,0.40,-13.47,1.67,1.94,4.94,-2.13,1.97,-0.44,2.46,1.60,0.40
"DIC 2010",0.53,5.68,4.44,1.21,-14.18,1.56,1.80,3.42,-2.65,2.26,0.78,2.44,0.21,0.23
"MAR 2011",-0.17,5.60,2.74,1.17,-11.30,0.95,0.43,0.72,-2.90,3.17,2.78,1.10,-0.30,-4.91
"JUN 2011",-0.84,5.39,-0.43,-1.55,-12.36,0.86,0.15,-0.60,-1.90,2.72,2.09,1.50,-0.32,-5.27
"SEP 2011",-1.23,3.68,-0.70,-1.53,-13.70,0.59,-0.06,-0.31,-2.29,2.79,2.26,0.56,-0.08,-5.77
"DIC 2011",-1.75,3.11,-2.40,-3.27,-13.98,0.26,-1.04,-0.46,-2.41,2.69,2.14,0.46,0.09,-6.29
"MAR 2012",-2.17,-10.71,-4.12,-5.15,-15.51,0.37,0.18,2.12,-2.06,1.88,0.35,0.01,-0.06,-4.51
"JUN 2012",-2.48,-14.37,-3.97,-5.34,-14.28,-0.25,-0.55,2.01,-3.02,1.77,-0.57,-0.53,-1.60,-4.25
"SEP 2012",-2.71,-10.45,-4.94,-5.18,-14.21,-0.54,-0.62,2.51,-4.95,2.38,-1.51,-1.32,-1.41,-4.46
"DIC 2012",-3.13,-8.45,-6.60,-5.68,-13.03,-1.01,-1.23,2.06,-4.37,2.05,-3.43,-1.25,-2.47,-4.38
"MAR 2013",-2.69,11.39,-6.09,-3.36,-9.94,-1.54,-1.53,-0.81,-7.88,2.13,-3.28,-1.58,-2.40,-4.09
"JUN 2013",-2.14,21.50,-6.41,-1.99,-11.27,-0.91,-0.17,0.79,-8.68,1.98,-2.82,-1.42,-1.10,-3.76
"SEP 2013",-1.51,14.96,-5.00,-1.09,-9.86,-0.46,0.41,0.38,-7.28,1.36,-2.04,-0.74,-0.57,-2.30
"DIC 2013",-0.32,18.33,-3.23,1.13,-8.03,0.42,1.69,2.60,-7.16,1.05,0.52,-0.65,1.38,-1.20
"MAR 2014",0.42,3.25,-0.83,1.64,-7.31,1.32,2.53,4.44,-1.78,1.05,1.14,-0.48,3.42,-0.44
"JUN 2014",1.17,-6.05,1.53,2.36,-3.90,1.80,3.05,4.34,-1.21,1.23,3.10,-0.46,4.38,0.77
"SEP 2014",1.71,-2.90,1.50,2.24,0.20,2.08,3.27,5.01,-0.58,1.31,4.09,-0.45,4.85,1.30
"DIC 2014",2.14,-8.72,2.48,2.60,3.11,2.49,3.96,4.96,-0.24,1.07,5.34,-0.18,4.99,1.72
"MAR 2015",2.70,-3.99,3.02,2.76,5.87,2.70,4.11,4.38,-2.34,1.04,6.24,0.88,4.52,2.29
"JUN 2015",3.18,1.97,3.56,3.80,5.80,3.03,4.61,5.01,-0.40,0.92,6.46,1.12,3.88,2.59
"SEP 2015",3.42,3.68,3.76,4.28,5.06,3.31,5.12,4.96,-1.13,0.67,5.66,2.20,4.03,2.71
"DIC 2015",3.54,6.24,3.39,4.07,4.01,3.44,5.28,4.63,0.17,0.78,4.92,2.43,4.52,3.58
