"","IE_1_4.1","IE_1_4.2","IE_1_4.3","IE_1_4.4","IE_1_4.5","IE_1_4.6","IE_1_4.7","IE_1_4.8","IE_1_4.9","IE_1_4.10","IE_1_4.11","IE_1_4.12","IE_1_4.13","IE_1_4.14","IE_1_4.15","IE_1_4.16","IE_1_4.17","IE_1_4.18","IE_1_4.19","IE_1_4.20","IE_1_4.21"
"DIC 1997",3.16,0.58,3.08,3.16,2.70,3.76,2.29,3.63,2.37,-0.52,1.69,2.22,1.58,2.44,2.11,5.37,2.03,6.94,3.08,1.02,0.46
"MAR 1998",1.68,1.98,1.46,1.06,1.87,3.22,0.70,-0.06,1.89,0.35,0.59,1.28,4.08,2.34,2.57,4.82,-2.01,5.72,2.27,2.09,0.49
"JUN 1998",1.70,2.91,1.51,1.55,1.37,1.88,1.19,-2.06,2.78,8.46,0.67,1.64,4.33,3.19,2.82,5.02,-0.75,7.52,3.74,3.39,0.61
"SEP 1998",1.63,2.52,1.42,1.41,1.13,2.89,1.28,-2.12,2.71,-3.83,0.19,1.15,5.02,3.19,3.49,6.32,-1.82,7.51,3.42,2.60,0.74
"DIC 1998",1.47,2.79,1.70,2.22,0.76,1.63,-0.60,-3.86,2.73,-3.88,-1.56,-1.23,5.01,2.97,3.22,7.24,-8.41,7.23,3.46,3.91,1.03
"MAR 1999",1.83,2.77,3.23,4.22,1.94,0.74,-0.70,-4.45,3.45,6.27,0.65,0.49,6.89,2.86,3.39,5.52,-8.62,6.93,5.18,2.91,1.67
"JUN 1999",1.95,2.36,3.12,3.98,1.19,4.75,-1.16,-1.00,2.36,-4.98,-0.46,-0.48,5.33,2.40,2.98,5.60,-7.01,4.31,2.44,3.23,1.26
"SEP 1999",2.24,2.73,3.68,4.96,1.69,2.17,0.18,1.11,2.44,-1.66,0.39,0.71,5.89,2.78,3.53,4.24,-5.19,4.54,2.73,3.31,1.83
"DIC 1999",2.43,3.06,4.53,6.00,1.95,3.78,2.13,4.22,2.43,-2.18,0.17,0.58,6.10,2.38,3.22,2.35,-7.15,3.98,3.08,3.24,1.29
"MAR 2000",3.58,3.08,6.07,7.64,3.72,3.25,4.89,10.16,2.60,-5.06,0.72,2.15,7.41,1.87,2.25,-2.09,-5.17,7.87,2.71,2.57,-0.11
"JUN 2000",3.89,3.27,6.91,8.44,4.97,2.55,6.76,11.96,3.03,-4.49,1.94,3.68,8.39,2.14,2.41,-2.46,-2.97,8.53,1.65,2.97,-0.05
"SEP 2000",4.00,3.98,6.45,7.97,4.31,2.98,7.01,9.90,3.64,2.16,2.44,3.71,8.57,3.86,3.82,0.33,3.66,9.68,4.08,3.43,1.71
"DIC 2000",4.65,3.62,6.21,7.47,4.19,4.33,8.00,11.43,3.81,4.70,2.60,3.61,7.84,4.63,4.07,1.26,13.87,8.97,2.97,3.83,1.18
"MAR 2001",3.89,3.72,4.37,5.47,2.22,4.18,4.31,4.93,3.79,3.17,1.76,2.72,5.02,4.16,4.12,0.78,11.03,4.29,5.17,3.51,1.85
"JUN 2001",4.11,3.69,3.37,4.66,0.81,3.03,2.49,1.19,4.29,12.93,2.97,2.80,5.61,5.41,5.91,2.46,8.52,4.87,8.65,4.03,3.18
"SEP 2001",3.47,3.09,3.19,4.60,0.30,2.85,1.22,-0.68,4.02,9.09,2.30,1.90,5.44,4.52,5.59,1.55,5.47,3.74,7.70,3.16,2.28
"DIC 2001",2.57,2.64,3.33,4.61,0.61,2.32,-1.09,-5.35,4.23,4.36,1.73,1.04,7.18,4.33,5.02,1.68,4.50,3.12,7.13,3.74,2.95
"MAR 2002",2.32,3.21,3.17,4.70,0.11,1.45,1.62,-2.96,4.14,6.45,3.21,2.13,6.73,4.01,4.34,4.49,0.39,3.35,6.64,3.88,3.63
"JUN 2002",2.92,3.60,3.83,5.12,1.11,2.53,-0.14,-2.71,4.13,-5.17,3.03,2.61,6.85,4.45,5.09,4.52,2.29,3.44,5.26,4.44,3.58
"SEP 2002",2.61,3.34,4.13,5.45,1.02,4.08,0.43,-2.73,4.15,-1.56,3.17,3.23,7.12,4.02,4.68,4.86,1.18,3.19,5.47,3.71,3.02
"DIC 2002",3.18,3.61,4.47,5.74,1.28,5.07,-0.19,-1.16,4.04,2.51,3.30,3.48,7.69,4.57,5.58,3.15,-2.07,6.48,6.62,4.11,4.13
"MAR 2003",3.42,4.02,4.36,5.31,1.63,5.67,-0.81,-1.61,4.12,-2.86,2.03,2.45,7.66,4.21,4.00,1.01,3.84,5.19,6.09,4.77,2.54
"JUN 2003",3.18,2.69,3.95,5.32,1.01,2.21,-0.34,-2.02,3.86,9.44,2.39,2.24,6.79,3.52,3.79,1.80,-4.65,5.68,6.90,4.11,3.06
"SEP 2003",3.12,2.85,4.26,5.41,1.92,2.21,-0.55,-2.20,3.99,7.62,3.00,2.57,7.61,3.69,3.68,1.86,-1.27,6.69,6.14,3.66,3.02
"DIC 2003",2.96,2.70,3.93,5.38,1.32,0.04,0.28,-1.17,3.71,9.28,1.20,0.98,4.52,2.99,2.40,2.18,1.65,4.00,5.37,3.32,1.99
"MAR 2004",3.25,3.31,4.51,5.91,1.20,3.26,-0.12,-0.24,3.74,1.10,3.44,3.19,5.85,3.63,3.80,1.06,-2.82,7.88,4.37,4.00,3.60
"JUN 2004",3.61,3.39,5.10,6.68,1.37,3.45,1.73,2.43,3.89,4.68,2.67,2.64,6.18,3.46,3.16,1.33,-0.23,7.47,3.73,4.20,1.67
"SEP 2004",3.87,3.36,5.25,7.02,1.11,3.92,1.74,3.38,3.78,-2.39,2.82,3.26,7.21,3.06,2.88,0.97,-3.87,6.58,4.23,4.19,2.47
"DIC 2004",3.72,2.76,5.83,7.58,1.76,3.83,3.65,3.25,4.26,-3.03,3.83,3.72,10.33,3.41,3.42,0.73,-3.53,9.02,5.19,3.49,2.22
"MAR 2005",3.24,2.70,5.97,7.69,2.50,2.15,3.95,2.98,4.19,10.90,4.84,4.19,10.04,2.73,2.99,0.49,-3.40,7.84,2.84,2.51,2.75
"JUN 2005",3.35,3.16,5.37,6.80,2.20,3.28,3.62,2.42,4.25,-3.06,3.97,3.15,9.02,2.48,2.46,0.01,-7.16,7.61,2.51,3.81,2.56
"SEP 2005",3.41,3.12,5.38,6.74,2.23,3.35,4.26,3.64,4.08,3.66,4.88,3.78,10.53,3.42,3.07,0.20,-2.10,8.71,3.68,4.07,3.13
"DIC 2005",3.54,3.69,4.64,5.85,1.79,2.99,4.13,3.52,4.07,3.45,3.85,2.53,7.21,2.51,1.72,0.29,-6.44,7.50,2.36,4.81,2.33
"MAR 2006",4.14,3.45,5.45,6.81,2.02,4.30,4.41,5.35,4.13,-10.62,3.80,3.25,6.61,3.24,4.06,1.42,-5.99,6.96,3.90,3.39,3.40
"JUN 2006",4.09,3.42,5.00,6.43,1.62,2.89,4.26,5.40,3.89,-10.78,3.64,3.37,8.06,4.05,4.62,1.67,0.75,7.45,3.49,3.96,2.25
"SEP 2006",3.47,3.50,4.67,5.89,1.89,2.53,4.40,3.06,4.20,-9.40,3.61,3.42,8.39,3.66,3.71,1.18,0.12,8.26,3.72,3.41,2.37
"DIC 2006",2.82,3.42,4.20,5.31,1.61,2.84,3.24,2.03,3.71,-13.72,2.25,2.44,4.71,3.06,2.87,0.66,-2.91,7.60,2.60,3.99,2.06
"MAR 2007",3.00,2.90,2.99,3.40,1.92,2.86,2.37,0.51,3.62,-3.74,2.91,2.17,4.42,3.78,2.56,0.81,6.18,6.23,4.49,4.01,3.89
"JUN 2007",2.97,3.00,2.99,3.02,2.57,4.20,2.31,0.63,3.55,3.06,3.70,2.60,4.22,3.53,2.60,1.39,4.06,5.88,3.78,4.15,2.43
"SEP 2007",3.08,2.72,2.43,2.54,1.83,3.50,1.97,1.67,2.99,4.57,3.08,2.01,1.98,3.39,2.37,1.30,9.53,4.60,2.90,3.17,2.32
"DIC 2007",4.21,2.81,2.49,2.59,2.15,2.70,2.88,3.89,3.19,10.89,5.70,4.61,2.08,4.38,3.43,1.39,14.74,5.28,3.10,3.95,1.87
"MAR 2008",3.70,3.51,2.09,2.40,0.90,3.26,2.14,3.59,2.80,5.97,4.01,3.72,2.30,4.66,4.55,1.60,9.21,5.02,4.35,4.21,4.10
"JUN 2008",4.11,3.56,1.42,1.63,0.64,2.19,3.39,6.47,2.31,9.12,5.01,4.28,3.30,5.01,6.01,1.52,4.04,5.06,5.93,4.69,4.36
"SEP 2008",4.15,3.87,1.54,1.84,0.76,1.52,3.62,7.49,2.21,-2.09,6.37,5.57,4.68,4.01,5.83,0.71,-4.04,3.44,6.59,4.34,4.16
"DIC 2008",2.36,3.22,-0.47,-1.19,0.60,2.24,1.21,2.95,1.28,-13.68,3.79,3.72,3.48,2.82,2.14,0.10,4.93,1.08,3.70,4.11,3.76
"MAR 2009",-0.01,1.59,-1.25,-2.24,0.44,1.97,-1.87,-4.63,0.57,-7.26,2.88,0.35,1.75,1.48,0.66,0.72,14.09,-4.99,1.25,1.96,3.08
"JUN 2009",-1.32,1.72,-4.13,-5.61,-1.60,0.37,-2.88,-9.90,0.51,-9.43,1.37,0.12,1.72,2.23,2.52,0.91,14.74,-6.80,2.24,3.63,1.46
"SEP 2009",-1.73,0.92,-4.04,-5.60,-1.79,1.29,-3.72,-9.32,-0.09,-3.02,0.90,0.71,1.71,2.35,2.76,1.87,14.74,-5.69,2.78,2.95,0.94
"DIC 2009",-0.43,1.01,-3.34,-4.46,-1.98,0.74,-2.32,-5.70,0.01,3.57,-0.30,-1.20,2.05,0.98,2.34,-0.74,-0.89,-4.24,0.79,3.24,1.15
"MAR 2010",1.32,-0.48,-2.41,-3.74,-1.03,2.42,1.56,1.06,0.23,7.80,-1.94,-0.41,-1.17,-0.22,1.94,-4.07,-19.24,8.53,0.40,-0.42,1.21
"JUN 2010",1.95,-0.79,0.68,-0.32,1.44,4.33,2.35,7.18,-0.04,6.95,-3.31,-1.83,-4.66,-1.82,-2.53,-7.33,-19.33,10.45,-2.05,-0.64,0.53
"SEP 2010",2.20,-1.64,0.45,-0.51,1.43,3.51,4.08,6.78,0.22,-2.43,-3.11,-2.33,-5.86,-2.91,-2.93,-8.67,-23.42,9.88,-3.67,-2.15,0.54
"DIC 2010",2.35,-1.81,0.33,-1.01,1.82,4.21,4.01,6.94,0.23,8.01,0.20,1.34,-3.77,-0.85,0.63,-5.40,-20.45,9.67,-0.79,-2.01,1.11
"MAR 2011",2.84,-0.98,-0.39,-1.00,0.38,0.72,5.20,10.04,0.07,-8.87,1.10,2.28,-2.96,-0.43,1.03,-2.60,-13.41,4.11,0.01,-1.42,0.89
"JUN 2011",2.76,-0.91,-0.73,-1.59,0.41,0.76,4.76,8.59,0.21,-10.11,1.64,2.57,-2.48,-0.07,1.86,-1.45,-10.16,3.39,0.62,-2.03,1.08
"SEP 2011",2.16,-0.46,-0.92,-2.00,0.78,0.36,4.23,8.28,-0.12,-4.28,0.92,1.71,-3.21,0.43,1.05,-0.77,0.33,3.38,-0.34,-1.43,0.75
"DIC 2011",1.99,-0.17,-1.14,-2.54,0.70,0.98,3.94,7.63,-0.04,-6.59,1.17,1.89,-3.68,1.10,1.76,-1.00,6.55,2.62,0.06,-0.67,0.89
"MAR 2012",2.11,-0.67,-1.63,-2.96,0.66,-0.85,2.38,5.22,-0.00,5.86,0.59,-0.06,-4.13,0.31,0.29,-2.83,9.04,2.11,-1.93,-1.07,0.78
"JUN 2012",2.05,-0.62,-1.87,-3.45,0.39,0.06,1.24,4.57,-0.26,3.78,0.59,-0.08,-4.48,0.47,0.07,-2.95,14.83,1.65,-2.18,-0.92,0.28
"SEP 2012",2.31,-0.25,-2.69,-4.78,-0.13,0.93,2.36,3.76,0.38,12.08,0.94,-0.38,-4.98,-0.38,0.74,-3.21,-4.67,1.12,-1.68,-0.65,0.09
"DIC 2012",3.10,-7.21,-2.26,-3.75,-0.49,0.37,2.04,1.53,0.08,16.62,1.39,-0.60,-4.90,-2.05,1.05,-3.59,-4.81,1.16,-0.72,-7.73,0.08
"MAR 2013",1.84,0.57,-3.26,-4.47,-3.10,1.38,0.32,-0.05,0.64,0.91,3.87,0.85,-4.13,-0.43,0.30,-4.29,-6.92,0.90,-0.19,0.18,-0.69
"JUN 2013",1.30,0.55,-3.14,-4.25,-3.18,1.00,-0.21,-2.60,0.89,2.47,3.73,0.38,-4.26,-0.99,-0.31,-4.77,-9.47,0.91,0.04,-0.49,-0.95
"SEP 2013",0.69,-0.19,-2.51,-2.98,-3.45,0.73,-1.67,-2.99,0.20,-7.90,3.36,-0.21,-3.67,-0.51,-0.82,-5.29,-2.05,1.13,0.03,0.20,-1.40
"DIC 2013",0.03,5.29,-2.54,-3.24,-3.00,0.34,-2.48,-2.89,0.54,-11.11,1.70,-1.53,-3.25,0.53,-1.86,-5.35,-1.90,0.64,-0.42,6.59,-1.84
"MAR 2014",0.30,-0.08,-1.11,-1.50,-0.84,-0.21,-3.35,-2.14,-0.52,-7.58,-1.74,-1.11,-0.75,-0.75,-1.11,-5.00,5.77,-0.28,-1.81,-0.34,-1.49
"JUN 2014",0.71,-0.42,-0.41,-0.63,-0.34,0.18,-2.84,-0.39,-0.54,-7.69,-0.13,-0.24,0.33,-0.24,-0.67,-4.06,9.17,-0.41,-2.45,0.42,-0.74
"SEP 2014",0.16,0.62,-0.24,-0.48,0.00,0.06,-1.65,-0.54,-0.23,-5.19,-1.03,0.08,0.25,-0.38,-1.17,-5.01,15.39,-0.96,-2.54,0.13,-0.98
"DIC 2014",-0.17,0.08,-0.00,-0.06,-0.03,0.31,-0.74,-0.14,-0.30,-5.52,-1.42,0.19,0.35,-0.21,-1.50,-4.87,15.94,-0.61,-1.57,0.51,-1.28
"MAR 2015",-1.04,0.67,0.82,1.11,0.53,0.46,0.51,-2.24,0.53,0.19,1.55,0.54,0.60,0.30,-0.31,-3.24,2.97,-0.35,0.01,1.97,0.11
"JUN 2015",-0.35,0.50,1.41,1.79,1.30,0.32,0.80,-0.36,0.54,1.43,-0.14,0.35,0.76,-0.27,0.00,-2.93,-4.17,-0.36,0.01,0.78,-0.18
"SEP 2015",-0.42,-0.32,1.91,2.30,1.79,0.84,0.20,-1.66,0.68,0.99,0.14,0.43,0.76,0.32,0.62,-1.32,-0.84,-0.10,0.84,0.53,0.65
"DIC 2015",-0.37,0.82,1.55,1.47,2.22,0.16,-0.10,-1.47,0.69,2.43,-0.28,0.23,0.22,0.46,0.45,-1.17,-7.41,-0.12,1.07,2.63,0.58
