"","IE_1_2.1","IE_1_2.2","IE_1_2.3","IE_1_2.4","IE_1_2.5","IE_1_2.6","IE_1_2.7","IE_1_2.8","IE_1_2.9","IE_1_2.10","IE_1_2.11","IE_1_2.12","IE_1_2.13","IE_1_2.14","IE_1_2.15","IE_1_2.16"
"DIC 1997",8.02,8.24,4.97,14.98,5.20,0.04,15.20,15.71,14.01,11.99,16.83,18.12,11.18,6.45,4.96,4.59
"MAR 1998",8.97,9.22,5.62,16.53,5.76,0.21,15.92,16.12,15.45,11.35,17.29,19.00,9.94,7.40,4.74,4.43
"JUN 1998",8.43,8.61,5.07,15.67,6.05,-0.00,9.38,8.45,11.62,10.59,13.70,14.51,10.09,15.21,5.35,4.27
"SEP 1998",12.49,12.79,11.75,14.76,8.64,0.45,3.82,2.32,7.39,5.93,12.88,13.92,8.26,13.61,6.83,4.47
"DIC 1998",12.97,13.21,12.72,14.11,9.81,0.22,4.07,2.17,8.69,11.07,12.90,13.95,8.01,11.45,6.41,4.06
"MAR 1999",9.87,10.09,10.09,10.10,6.93,0.40,6.41,5.25,9.11,11.53,14.76,15.47,11.53,21.50,6.12,3.90
"JUN 1999",12.55,12.75,13.52,11.36,9.94,0.29,6.01,4.74,8.92,9.77,13.61,14.23,10.75,9.35,6.66,4.61
"SEP 1999",9.16,9.17,8.16,11.06,9.04,0.14,8.12,7.52,9.44,8.37,14.13,14.10,14.24,12.01,6.29,4.64
"DIC 1999",8.54,8.51,8.23,9.02,8.91,0.05,11.44,12.04,10.08,7.17,13.13,12.84,14.58,14.85,5.33,4.77
"MAR 2000",9.35,9.38,8.82,10.44,8.98,-0.12,10.53,11.42,8.59,5.32,12.55,12.34,13.49,5.45,6.34,5.58
"JUN 2000",6.81,6.87,6.62,7.33,6.08,0.12,11.33,11.73,10.44,5.51,10.36,9.54,14.16,17.27,5.25,5.30
"SEP 2000",7.37,7.40,8.00,6.30,7.01,-0.13,10.03,10.38,9.24,5.55,9.58,9.44,10.21,11.39,5.24,5.17
"DIC 2000",6.25,6.20,6.19,6.21,6.89,-0.18,10.09,9.30,11.89,4.76,5.80,4.64,11.22,14.06,4.06,5.11
"MAR 2001",5.25,5.02,6.69,1.80,8.46,-0.08,9.18,9.14,9.24,4.14,5.87,5.23,8.84,22.52,3.75,4.49
"JUN 2001",5.55,5.31,7.22,1.57,8.92,-0.06,4.17,3.64,5.34,3.23,4.83,4.51,6.33,9.69,4.36,4.03
"SEP 2001",4.80,4.51,7.30,-1.00,8.93,-0.11,2.57,1.99,3.86,1.16,2.52,2.39,3.12,5.87,4.03,3.96
"DIC 2001",3.96,3.66,7.38,-3.64,8.16,-0.07,-0.89,-1.28,-0.01,-3.14,0.91,1.04,0.45,6.22,4.09,3.54
"MAR 2002",4.40,4.06,7.44,-2.98,9.03,-0.11,-3.24,-3.53,-2.55,-5.48,-0.37,-0.26,-0.81,2.18,3.94,3.10
"JUN 2002",4.36,3.90,7.08,-2.88,10.69,-0.08,2.07,4.24,-2.51,-8.45,2.78,3.33,0.30,3.09,3.31,3.06
"SEP 2002",4.49,4.05,6.36,-1.11,10.50,-0.15,1.45,3.02,-1.87,-6.82,2.91,2.91,2.94,8.84,3.12,2.66
"DIC 2002",5.21,4.76,6.28,1.20,11.30,0.15,5.34,7.70,0.36,-4.02,9.08,10.02,4.87,3.85,3.95,2.71
"MAR 2003",6.89,6.01,7.06,3.47,18.51,0.07,5.16,7.10,1.07,-0.86,6.40,6.89,4.26,1.21,3.60,3.13
"JUN 2003",6.74,6.03,6.91,3.87,15.94,-0.21,3.40,4.06,2.01,4.72,5.71,6.27,3.28,3.96,3.79,3.05
"SEP 2003",6.98,6.40,7.55,3.50,14.43,0.04,3.19,4.55,0.29,1.36,6.42,7.34,2.44,4.33,4.12,3.14
"DIC 2003",7.27,6.90,7.68,4.94,11.97,-0.17,2.01,3.72,-1.63,0.58,5.17,5.89,2.11,8.93,4.35,3.42
"MAR 2004",4.85,5.06,5.26,4.58,2.34,-0.05,4.29,6.06,0.52,1.65,9.51,10.20,6.50,18.52,4.57,3.03
"JUN 2004",5.01,5.27,5.52,4.63,1.84,0.51,3.93,6.77,-2.12,-3.49,10.41,11.16,7.09,18.51,5.03,3.14
"SEP 2004",5.42,5.70,4.48,8.95,1.92,-0.02,5.02,6.76,1.31,1.33,10.18,10.49,8.83,19.00,4.99,3.46
"DIC 2004",5.23,5.43,5.05,6.41,2.85,0.18,3.79,3.97,3.46,3.41,10.19,10.26,9.88,24.68,4.90,3.04
"MAR 2005",6.70,7.02,6.09,9.59,2.68,-0.10,0.31,-1.66,4.63,1.36,6.44,5.68,9.87,23.85,5.26,3.46
"JUN 2005",8.04,8.28,6.81,12.33,5.03,-0.09,3.32,1.17,8.24,2.46,9.37,9.35,9.48,22.65,5.59,3.70
"SEP 2005",7.70,7.87,7.67,8.50,5.55,-0.04,2.13,0.42,5.86,3.86,7.34,6.77,9.91,20.19,5.23,3.65
"DIC 2005",7.48,7.58,6.91,9.43,6.16,-0.15,1.32,-0.45,5.13,2.82,5.02,5.09,4.70,15.41,5.19,4.08
"MAR 2006",7.64,7.48,7.59,7.18,9.67,0.35,5.52,4.27,8.15,1.81,9.70,9.93,8.75,5.69,5.65,4.16
"JUN 2006",7.27,7.11,7.34,6.52,9.37,-0.02,3.36,1.64,7.04,4.67,5.85,4.99,9.83,7.35,5.10,4.18
"SEP 2006",6.93,6.70,6.50,7.24,10.09,0.09,3.53,2.60,5.47,0.54,6.32,6.06,7.53,7.46,5.23,4.22
"DIC 2006",7.59,7.29,6.27,10.15,11.51,0.22,7.35,6.96,8.18,-0.15,10.86,10.59,12.07,5.52,5.54,4.13
"MAR 2007",5.81,5.61,3.74,11.06,8.46,-0.01,8.93,12.02,2.66,1.68,9.45,10.68,3.80,8.82,4.74,4.06
"JUN 2007",5.24,5.02,3.59,9.20,8.10,0.02,7.61,11.37,-0.09,-2.36,8.70,9.72,4.07,6.81,4.61,3.83
"SEP 2007",3.66,3.34,1.28,9.34,7.81,0.11,10.37,12.84,5.30,-0.91,10.17,11.05,6.18,5.84,4.18,3.64
"DIC 2007",2.86,2.59,1.00,7.17,6.37,0.11,6.20,7.47,3.56,0.42,6.08,6.31,4.92,5.18,3.89,3.55
"MAR 2008",0.92,0.48,-0.48,3.12,6.63,0.03,2.00,1.90,2.22,-0.20,1.95,1.57,3.79,3.83,3.08,2.97
"JUN 2008",-1.46,-2.06,-4.48,4.67,6.28,0.56,2.70,2.14,4.00,-1.97,-1.07,-1.21,-0.38,-3.06,1.16,2.20
"SEP 2008",-4.99,-5.70,-6.75,-2.84,3.83,0.03,0.63,1.70,-1.69,-5.30,-6.75,-7.11,-5.02,-9.28,-1.69,0.61
"DIC 2008",-10.06,-11.12,-10.73,-12.16,3.09,0.06,-8.61,-9.55,-6.64,-9.26,-16.29,-18.14,-7.44,-12.92,-4.23,-1.26
"MAR 2009",-15.05,-16.17,-13.67,-22.90,-1.51,-1.73,-14.80,-17.08,-9.90,-12.87,-26.66,-29.04,-15.12,-16.96,-7.91,-3.27
"JUN 2009",-20.17,-21.49,-18.05,-30.28,-4.65,0.12,-14.56,-16.13,-11.10,-8.52,-23.86,-25.70,-14.98,-14.45,-7.97,-4.26
"SEP 2009",-17.54,-18.93,-17.01,-23.94,-1.85,0.48,-11.29,-11.42,-10.99,-8.86,-14.64,-15.28,-11.66,-10.92,-5.38,-3.84
"DIC 2009",-14.59,-15.85,-15.89,-15.75,-1.24,0.34,-2.69,-0.13,-7.91,-4.78,-6.10,-5.12,-10.22,-6.12,-4.07,-2.91
"MAR 2010",-8.92,-10.25,-13.54,-0.59,4.29,-0.35,7.74,11.48,0.46,0.16,9.88,12.71,-1.12,-0.82,-0.44,-1.04
"JUN 2010",-2.91,-4.16,-8.49,8.53,8.63,0.02,9.24,12.45,2.81,-0.96,10.47,13.40,-1.07,1.69,0.51,0.11
"SEP 2010",-3.63,-4.75,-8.83,6.47,6.16,-0.10,8.10,10.16,3.85,4.28,2.73,4.77,-5.40,2.95,-0.79,0.47
"DIC 2010",-3.68,-4.80,-9.00,6.20,5.72,-0.14,12.55,15.36,6.72,3.81,5.05,7.38,-4.32,0.47,-1.17,0.53
"MAR 2011",-5.48,-6.47,-10.91,4.58,2.64,-0.10,12.52,16.30,4.47,5.30,4.48,6.79,-5.54,-3.80,-2.05,-0.17
"JUN 2011",-7.01,-8.01,-11.53,0.45,0.84,-0.15,7.76,8.33,6.53,8.13,-1.29,-0.40,-5.39,-7.73,-3.11,-0.84
"SEP 2011",-7.21,-8.28,-11.92,0.09,0.93,-0.13,6.59,6.15,7.55,5.67,-0.72,-0.76,-0.62,-2.91,-3.14,-1.23
"DIC 2011",-8.10,-9.23,-12.54,-1.99,0.15,0.01,3.17,1.93,6.00,5.05,-5.49,-6.70,0.23,-4.22,-4.13,-1.75
"MAR 2012",-7.45,-8.90,-10.77,-5.02,3.00,-0.19,-0.54,-1.95,2.85,1.04,-7.10,-6.61,-9.83,-7.40,-4.05,-2.17
"JUN 2012",-7.05,-8.41,-8.91,-7.34,2.38,-0.27,0.38,-0.06,1.39,-1.26,-6.48,-6.55,-6.22,-2.61,-4.46,-2.48
"SEP 2012",-7.14,-8.31,-7.30,-10.34,0.79,-0.29,2.32,3.01,0.75,0.27,-5.64,-5.79,-4.83,-10.69,-5.03,-2.71
"DIC 2012",-6.56,-7.73,-6.03,-11.08,1.17,-0.33,2.15,4.22,-2.52,-2.48,-5.50,-5.36,-5.98,-9.21,-5.44,-3.13
"MAR 2013",-5.27,-6.24,-4.99,-8.64,0.78,-0.22,3.24,5.95,-3.08,1.09,-5.14,-5.31,-4.14,-2.93,-5.10,-2.69
"JUN 2013",-4.39,-5.50,-9.12,1.59,2.35,-0.22,6.96,10.65,-1.39,2.90,-0.15,0.85,-5.20,-3.04,-4.25,-2.14
"SEP 2013",-0.78,-1.52,-7.45,10.24,3.71,-0.26,3.63,5.52,-0.85,2.66,0.61,2.36,-7.99,2.96,-2.47,-1.51
"DIC 2013",0.66,-0.04,-6.93,13.52,4.75,-0.29,3.48,3.70,2.90,6.75,3.62,5.51,-5.42,8.43,-0.40,-0.32
"MAR 2014",1.43,1.01,-6.52,15.49,3.86,0.25,4.56,3.37,7.54,5.47,6.22,6.61,4.16,6.64,0.75,0.42
"JUN 2014",4.29,4.74,0.80,11.59,1.83,0.35,2.83,2.45,3.77,4.90,5.16,5.24,4.69,9.83,1.75,1.17
"SEP 2014",3.38,3.60,1.27,7.43,2.20,0.27,6.38,6.04,7.22,3.68,7.34,7.43,6.88,11.97,1.78,1.71
"DIC 2014",4.86,5.62,4.06,8.10,0.74,0.15,6.46,6.17,7.11,3.27,6.76,7.64,2.22,5.24,2.03,2.14
"MAR 2015",6.09,7.04,6.21,8.34,0.95,0.10,5.82,5.44,6.71,2.99,7.61,7.80,6.63,11.10,3.08,2.70
"JUN 2015",6.31,7.11,5.21,10.07,1.90,0.05,6.05,5.59,7.18,2.54,7.39,7.62,6.17,12.18,3.43,3.18
"SEP 2015",6.69,7.59,5.25,11.22,1.69,0.18,4.52,4.18,5.34,2.91,7.23,7.47,5.98,13.51,4.14,3.42
"DIC 2015",6.42,7.08,4.58,10.91,2.75,0.25,5.29,4.35,7.49,6.11,7.70,6.59,13.49,14.23,4.14,3.54
